,Name,OnDisk,NbReplicas
2202,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1p1/90000000/DIMUON.DST,1,4.0
974,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1p1/90000000/EW.DST,1,4.0
1133,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1p1/90000000/LEPTONIC.MDST,0,1.0
275,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1p1/90000000/PID.MDST,1,4.0
4309,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1p1/90000000/RADIATIVE.DST,1,2.0
3731,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1p1/90000000/SEMILEPTONIC.DST,1,4.0
3256,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1p2/90000000/BHADRON.MDST,1,4.0
406,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1p2/90000000/BHADRONCOMPLETEEVENT.DST,1,4.0
1593,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1p2/90000000/CALIBRATION.DST,0,1.0
1306,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1p2/90000000/CHARM.MDST,1,4.0
102,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14/Stripping20r1p2/90000000/CHARMCOMPLETEEVENT.DST,1,4.0
